train,cheated,cheated_map1_001,500
train,cheated,cheated_map1_004,250
train,cheated,cheated_map1_008,250
train,cheated,cheated_map1_009,250
train,cheated,cheated_map1_014,250
train,cheated,cheated_map1_016,250
train,cheated,cheated_map1_017,500
train,cheated,cheated_map1_018,185
train,cheated,cheated_map1_019,250
train,cheated,cheated_map1_021,500
train,cheated,cheated_map1_022,250
train,cheated,cheated_map1_023,250
train,cheated,cheated_map1_024,250
train,cheated,cheated_map1_025,250
train,cheated,cheated_map1_026,500
train,cheated,cheated_map1_027,250
train,cheated,cheated_map1_028,250
train,cheated,cheated_map1_029,404
train,cheated,cheated_map1_030,250
train,cheated,cheated_map1_031,250
train,cheated,cheated_map1_033,250
train,cheated,cheated_map1_035,250
train,cheated,cheated_map1_036,250
train,cheated,cheated_map1_037,250
train,cheated,cheated_map1_038,250
train,cheated,cheated_map1_039,500
train,cheated,cheated_map1_040,250
train,cheated,cheated_map1_041,250
train,cheated,cheated_map1_044,500
train,cheated,cheated_map1_045,250
train,cheated,cheated_map1_046,250
train,cheated,cheated_map1_047,250
train,cheated,cheated_map1_049,500
train,cheated,cheated_map1_050,250
train,cheated,cheated_map1_052,250
train,cheated,cheated_map1_053,250
train,cheated,cheated_map1_055,250
train,cheated,cheated_map1_056,250
train,cheated,cheated_map1_058,250
train,cheated,cheated_map1_060,250
train,cheated,cheated_map1_061,250
train,cheated,cheated_map1_062,250
train,cheated,cheated_map1_063,250
train,cheated,cheated_map1_064,537
train,cheated,cheated_map1_066,250
train,cheated,cheated_map1_067,250
train,cheated,cheated_map1_069,500
train,cheated,cheated_map1_072,250
train,cheated,cheated_map1_074,500
train,cheated,cheated_map1_076,250
train,cheated,cheated_map1_078,250
train,cheated,cheated_map1_079,447
train,cheated,cheated_map1_080,250
train,cheated,cheated_map1_081,404
train,cheated,cheated_map1_082,250
train,cheated,cheated_map1_086,500
train,cheated,cheated_map1_087,250
train,cheated,cheated_map1_089,250
train,cheated,cheated_map1_091,500
train,cheated,cheated_map1_092,250
train,cheated,cheated_map1_093,250
train,cheated,cheated_map1_094,250
train,cheated,cheated_map1_095,250
train,cheated,cheated_map1_096,500
train,cheated,cheated_map1_100,250
train,cheated,cheated_map1_104,250
train,cheated,cheated_map1_105,250
train,cheated,cheated_map1_106,500
train,cheated,cheated_map1_107,250
train,cheated,cheated_map1_108,250
train,cheated,cheated_map1_109,250
train,cheated,cheated_map1_112,250
train,cheated,cheated_map1_115,250
train,cheated,cheated_map1_116,500
train,cheated,cheated_map1_117,250
train,cheated,cheated_map1_118,250
train,cheated,cheated_map1_119,250
train,cheated,cheated_map1_120,250
train,cheated,cheated_map1_124,250
train,cheated,cheated_map1_126,250
train,cheated,cheated_map1_127,250
train,cheated,cheated_map1_128,250
train,cheated,cheated_map1_130,500
